date,open,high,low,close,volume
2013-11-08,67.7022,68.564,67.4404,68.489,69829543
2013-11-11,68.414,68.635,67.6798,68.2901,56863303
2013-11-12,68.1088,68.9311,68.0206,68.4166,51114651
2013-11-13,68.1522,68.7113,68.0153,68.4987,49304927
2013-11-14,68.785,69.6363,68.6613,69.4889,70605087
2013-11-15,69.281,69.6113,69.006,69.072,79479764
2013-11-18,69.0718,69.3613,68.1785,68.2349,61236224
2013-11-19,68.2877,68.86,68.1482,68.3561,52234707
2013-11-20,68.314,68.4706,67.6693,67.7575,48545798
2013-11-21,68.0995,68.5745,67.5825,68.5648,65506861
2013-11-22,68.3522,68.6995,68.2219,68.389,55931232
2013-11-25,68.5495,69.1876,68.5469,68.9074,57348403
2013-11-26,68.9574,70.5388,68.9416,70.1783,100345728
2013-11-27,70.5612,71.8361,70.1783,71.8308,90861841
2013-11-29,72.2939,73.4583,72.0742,73.161,79532215
2013-12-02,73.4149,74.2477,72.4702,72.5242,118135885
2013-12-03,73.4544,74.5174,73.3728,74.5098,112741734
2013-12-04,74.4016,74.8871,73.7859,74.3359,94452666
2013-12-05,75.3424,75.6694,74.5214,74.7175,111895315
2013-12-06,74.4398,74.5661,73.6214,73.6807,86088352
2013-12-09,73.7964,74.9384,73.7964,74.524,80123533
2013-12-10,74.149,74.7148,73.8359,74.4082,69567610
2013-12-11,74.599,75.1213,73.6372,73.857,89929693
2013-12-12,73.9598,74.3806,73.682,73.7491,65572318
2013-12-13,74.053,74.0569,72.8452,72.9452,83205283
2013-12-16,73.0228,74.0252,73.0215,73.3491,70648452
2013-12-17,73.1268,73.6043,72.8064,73.0189,57475649
2013-12-18,72.3229,72.5531,70.8888,72.4637,141465807
2013-12-19,72.2966,72.3623,71.5374,71.6335,80239369
2013-12-20,71.7611,72.5742,71.6805,72.2334,109103435
2013-12-23,74.7306,75.0884,74.0411,75.0055,125326831
2013-12-24,74.9792,75.241,74.4714,74.6871,41888735
2013-12-26,74.7437,74.9279,74.1222,74.1911,51002035
2013-12-27,74.1806,74.2582,73.6122,73.6899,56471317
2013-12-30,73.3438,73.6899,72.6677,72.957,63407722
2013-12-31,72.911,73.8464,72.8886,73.8122,55819372
2014-01-02,73.1096,73.2873,72.6282,72.7741,58791957
2014-01-03,72.7386,72.8491,71.1032,71.1756,98303870
2014-01-06,70.7112,71.9413,70.2046,71.5637,103359151
2014-01-07,71.615,71.8308,70.7737,71.0516,79432766
2014-01-08,70.8901,71.7782,70.8743,71.5019,64686685
2014-01-09,71.9413,71.9492,70.4349,70.5887,69905199
2014-01-10,71.0243,71.1519,69.877,70.1178,76320664
2014-01-13,69.7191,71.3756,69.7152,70.4849,94860843
2014-01-14,70.8125,71.9321,70.7388,71.8874,83734371
2014-01-15,72.8255,73.7043,72.5807,73.3307,98472619
2014-01-16,73.007,73.2636,72.5834,72.9215,57471330
2014-01-17,72.5571,72.6347,71.0335,71.1348,108426689
2014-01-21,71.1769,72.3715,71.1019,72.24,82255544
2014-01-22,72.4827,73.3215,72.0742,72.561,95219334
2014-01-23,72.3544,73.2175,71.679,73.1754,100978346
2014-01-24,72.8886,73.1018,71.6716,71.8453,108384437
2014-01-27,72.3715,72.9939,71.8032,72.4281,144219152
2014-01-28,66.9365,67.7575,66.0563,66.6391,266833581
2014-01-29,66.3036,66.7536,65.6024,65.8826,125942796
2014-01-30,66.1181,66.6391,65.3498,65.7553,169762789
2014-01-31,65.1498,65.9852,64.9353,65.8629,116336444
2014-02-03,66.1273,66.801,65.6918,65.9852,100620772
2014-02-04,66.5536,67.0286,66.1471,66.9404,94273543
2014-02-05,66.647,67.7943,66.6065,67.4404,82322156
2014-02-06,67.5092,67.9645,67.2114,67.8335,64497223
2014-02-07,69.0075,69.2126,68.478,68.7825,93638601
2014-02-10,68.6475,70.4118,68.5601,70.0147,86451022
2014-02-11,70.2291,71.1741,70.0822,70.9372,70672252
2014-02-12,71.0682,71.4137,70.5772,70.9319,77127064
2014-02-13,70.7651,72.1138,70.7043,72.0583,76960156
2014-02-14,71.7988,72.2634,71.6321,72.0,68468036
2014-02-18,72.2661,72.953,72.2144,72.2647,65306248
2014-02-19,72.1006,72.3838,70.7241,71.1238,78554420
2014-02-20,70.5441,71.0749,70.016,70.3006,76529103
2014-02-21,70.518,70.7532,69.4336,69.5197,69757247
2014-02-24,69.2417,70.1378,69.1451,69.8241,72364950
2014-02-25,70.0663,70.0908,68.9572,69.0975,58247350
2014-02-26,69.3026,69.4866,68.2425,68.4741,69131286
2014-02-27,68.4463,69.9869,68.302,69.84,75557321
2014-02-28,70.0266,70.5123,69.1054,69.6507,93074653
2014-03-03,69.2775,70.2344,69.1967,69.8519,59667923
2014-03-04,70.2807,70.4978,69.8532,70.3125,64884834
2014-03-05,70.2701,70.7771,70.0332,70.4607,50065519
2014-03-06,70.5176,70.736,69.8969,70.2476,46423111
2014-03-07,70.2926,70.4104,69.6256,70.2066,55415241
2014-03-10,69.9313,70.5891,69.9285,70.2701,44691430
2014-03-11,70.8697,71.3052,70.4912,70.9544,70198849
2014-03-12,70.7453,71.1212,70.4131,71.0232,50195460
2014-03-13,71.1331,71.4269,70.0372,70.2344,64435609
2014-03-14,69.9882,70.2662,69.2219,69.4456,59299492
2014-03-17,69.8439,70.1444,69.5991,69.7169,49886074
